,6100 Auto Expense,6700 Interest Expense,6750 Professional Services,6900 Meals & Entertainment,6950 Office Supplies,6951 Office Software,7600 Travel,6200 Bank Charges & Fees,6010 Advertising & Marketing,6952 Telecommunications,Uncategorized Expense,7150 Shipping & Postage,6752 Legal Services,7200 Rent & Lease-Building Space,6201 Payment Collection Fees,6754 Payroll Processing,7300 Payroll-Wages,7301 Payroll-Taxes,6990 Other Business Expenses,6350 Depreciation-Machinery & Equipment,6361 Depreciation-Office Equipment,6751 Accounting Services,7305 Guaranteed Payments,8000 Other Expense,Sales of Product Income,7302 Payroll-Benefits,7340 Research & Development,6800 Taxes & Licenses,6753 Consultants,7300.1 Payroll-Bonus,6780 Recruiting,7201 Leased Equipment,6011 Operating Supplies,6012 Packaging Supplies,7500 Utilities,6755 IT Consulting,6102 Auto Expense-Registrations & Fees,6650 Insurance-General Liability,6651 Insurance-Workers Comp,6850 Repairs & Maintenance-Building,6853 Repairs & Maintenance-Grounds,9852 Repairs & Maintenance-Fleet,4020 Revenue-Product line #2
01/2020,0.0,0.0,0.0,196.08,133.47,252.24,0.0,341.78,399.0,0.0,0.0,0.0,0.0,42.0,0.0,171.0,6250.0,537.15,0.0,0.0,0.0,0.0,12500.0,0.0,0.0,5059.14,1849.97,0.0,3150.0,0.0,106.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02/2020,0.0,0.0,0.0,143.94,0.0,239.71,145.02,203.71,543.89,0.0,0.0,163.25,3958.75,0.0,0.0,171.0,6250.0,454.47,31.0,0.0,0.0,503.75,12500.0,0.0,0.0,5059.14,69.29,500.0,3009.96,0.0,106.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
03/2020,0.0,0.0,0.0,167.63,230.35,314.07,49.0,490.2,5199.0,0.0,0.0,51.59,4000.0,0.0,0.0,172.0,3125.0,227.23,1500.0,0.0,0.0,3685.0,12500.0,0.0,0.0,5059.14,199.99,25.0,69097.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
04/2020,0.0,0.0,0.0,0.0,37.97,250.16,0.0,380.4,399.0,0.0,0.0,0.0,4000.0,0.0,0.0,171.0,6250.0,926.93,0.0,0.0,0.0,113.75,12500.0,0.0,0.0,5059.14,0.0,0.0,9379.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05/2020,0.0,0.0,0.0,458.15,0.0,264.98,720.47,310.02,399.0,0.0,0.0,12.3,4000.0,0.0,0.0,171.0,6250.0,454.46,0.0,0.0,0.0,81.25,12500.0,0.0,0.0,5059.14,0.0,100.0,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
06/2020,0.0,29.86,0.0,118.49,14.34,264.98,0.0,331.06,0.0,0.0,0.0,53.24,4000.0,6718.0,0.0,171.0,6250.0,454.47,0.0,0.0,0.0,0.0,12500.0,0.0,0.0,5059.14,0.0,0.0,4328.75,0.0,0.0,458.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07/2020,9.16,5.57,0.0,141.56,211.4,253.74,0.0,359.58,2400.0,0.0,0.0,112.55,4000.0,3873.0,0.0,170.0,9375.0,564.22,0.0,0.0,0.0,276.25,12500.0,0.0,0.0,5059.14,37.97,397.0,36747.5,0.0,0.0,241.5,60.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
08/2020,300.0,26.54,0.0,497.6,23.16,263.17,0.0,355.78,0.0,0.0,0.0,172.51,4000.0,3873.0,0.0,172.0,6250.0,837.85,0.0,0.0,0.0,0.0,12500.0,0.0,0.0,5059.14,97.96,0.0,0.0,0.0,0.0,749.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09/2020,0.0,66.62,0.0,592.01,2604.17,565.06,0.0,558.86,5305.42,0.0,0.0,7.75,4000.0,7500.0,0.0,172.0,12692.31,415.22,0.0,0.0,0.0,1350.0,0.0,0.0,0.0,5059.14,12093.0,83.3,100818.74,0.0,0.0,120.75,4699.55,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10/2020,33.1,22.03,0.0,1010.77,5005.63,4526.58,0.0,729.55,838.09,0.0,0.0,9.9,4000.0,7500.0,0.0,263.0,18076.93,3674.81,100.0,0.0,0.0,0.0,0.0,0.0,0.0,7850.55,2141.86,293.37,21206.67,0.0,287.02,711.04,12655.14,4891.53,1476.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11/2020,0.0,0.0,0.0,85.19,2882.82,628.09,3485.43,511.66,8140.69,0.0,0.0,11.0,4000.0,7500.0,0.0,89.0,21153.86,1604.86,6225.19,0.0,0.0,308.75,0.0,0.0,0.0,6834.28,1415.0,74.38,9054.91,0.0,153.52,0.0,3056.01,1707.08,553.46,4247.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12/2020,0.0,311.74,0.0,338.33,1577.21,1164.98,270.76,522.01,3241.8,0.0,0.0,16.62,4000.0,7500.0,0.0,316.0,21153.86,1538.18,137.11,0.0,0.0,162.5,0.0,43.54,0.0,8214.91,1673.34,279.0,83179.32,0.0,0.0,0.0,2721.7,0.0,2913.42,2300.0,2075.0,30394.36,11785.0,1465.0,750.0,0.0,0.0
01/2021,632.93,0.0,0.0,517.46,2323.35,1479.62,0.0,0.0,150.0,65.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.75,0.0,0.0,0.0,0.0,390.0,9.54,0.0,0.0,102.36,0.0,4481.29,5144.05,409.4,0.0,0.0,0.0,0.0,0.0,0.0,75.39,0.0
02/2021,0.0,0.0,0.0,0.0,997.61,440.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0
03/2021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
