,Distance,Duration,Ad1,Ad2
85,96.6 km,1 hour 5 mins,416+Boston+Post+Road+Marlborough+MA,49+Macy+St+Amesbury+MA
86,99.2 km,1 hour 6 mins,416+Boston+Post+Road+Marlborough+MA,107+Elm+St+Salisbury+MA
87,67.2 km,1 hour 3 mins,416+Boston+Post+Road+Marlborough+MA,3+Dodge+Street+Salem+MA
88,40.6 km,34 mins,416+Boston+Post+Road+Marlborough+MA,5+Forge+Parkway+Franklin+MA
89,26.7 km,27 mins,416+Boston+Post+Road+Marlborough+MA,640+Lincoln+Street+Worcester+MA
90,44.3 km,41 mins,416+Boston+Post+Road+Marlborough+MA,541+Massachusetts+Ave+Cambridge+MA
91,59.1 km,45 mins,416+Boston+Post+Road+Marlborough+MA,640+Douglas+St+Uxbridge+MA
92,67.6 km,1 hour 2 mins,416+Boston+Post+Road+Marlborough+MA,462+Highland+Ave+Salem+MA
93,39.2 km,36 mins,416+Boston+Post+Road+Marlborough+MA,38+Littleton+Rd+Ayer+MA
94,41.4 km,36 mins,416+Boston+Post+Road+Marlborough+MA,31+Central+Ave+Ayer+MA
95,7.8 km,8 mins,116+Newburyport+Turnpike+Rowley+MA,68+Tenney+St+Georgetown+MA
96,113 km,1 hour 12 mins,116+Newburyport+Turnpike+Rowley+MA,266+North+Main+Street+Millbury+MA
97,105 km,1 hour 14 mins,116+Newburyport+Turnpike+Rowley+MA,65+Pullman+Street+Worcester+MA
98,100 km,1 hour 14 mins,116+Newburyport+Turnpike+Rowley+MA,65+West+Boylston+Street+W+Boylston+MA
99,79.1 km,1 hour 4 mins,116+Newburyport+Turnpike+Rowley+MA,416+Boston+Post+Road+Marlborough+MA
100,1 m,1 min,116+Newburyport+Turnpike+Rowley+MA,116+Newburyport+Turnpike+Rowley+MA
101,29.8 km,33 mins,116+Newburyport+Turnpike+Rowley+MA,38+Great+Republic+Drive+Gloucester+MA
102,1.4 km,2 mins,116+Newburyport+Turnpike+Rowley+MA,300+Newburyport+Turnpike+Rowley+MA
103,28.3 km,27 mins,116+Newburyport+Turnpike+Rowley+MA,50+Grove+St+Salem+MA
104,23.6 km,18 mins,116+Newburyport+Turnpike+Rowley+MA,49+Macy+St+Amesbury+MA
105,18.2 km,18 mins,116+Newburyport+Turnpike+Rowley+MA,107+Elm+St+Salisbury+MA
106,23.1 km,33 mins,116+Newburyport+Turnpike+Rowley+MA,3+Dodge+Street+Salem+MA
107,114 km,1 hour 12 mins,116+Newburyport+Turnpike+Rowley+MA,5+Forge+Parkway+Franklin+MA
108,97.9 km,1 hour 11 mins,116+Newburyport+Turnpike+Rowley+MA,640+Lincoln+Street+Worcester+MA
109,47.8 km,45 mins,116+Newburyport+Turnpike+Rowley+MA,541+Massachusetts+Ave+Cambridge+MA
110,130 km,1 hour 22 mins,116+Newburyport+Turnpike+Rowley+MA,640+Douglas+St+Uxbridge+MA
111,29.9 km,31 mins,116+Newburyport+Turnpike+Rowley+MA,462+Highland+Ave+Salem+MA
112,65.2 km,55 mins,116+Newburyport+Turnpike+Rowley+MA,38+Littleton+Rd+Ayer+MA
113,67.0 km,57 mins,116+Newburyport+Turnpike+Rowley+MA,31+Central+Ave+Ayer+MA
114,47.9 km,38 mins,38+Great+Republic+Drive+Gloucester+MA,68+Tenney+St+Georgetown+MA
115,125 km,1 hour 20 mins,38+Great+Republic+Drive+Gloucester+MA,266+North+Main+Street+Millbury+MA
116,137 km,1 hour 25 mins,38+Great+Republic+Drive+Gloucester+MA,65+Pullman+Street+Worcester+MA
117,131 km,1 hour 25 mins,38+Great+Republic+Drive+Gloucester+MA,65+West+Boylston+Street+W+Boylston+MA
118,91.1 km,1 hour 12 mins,38+Great+Republic+Drive+Gloucester+MA,416+Boston+Post+Road+Marlborough+MA
119,29.2 km,33 mins,38+Great+Republic+Drive+Gloucester+MA,116+Newburyport+Turnpike+Rowley+MA
120,1 m,1 min,38+Great+Republic+Drive+Gloucester+MA,38+Great+Republic+Drive+Gloucester+MA
121,29.5 km,34 mins,38+Great+Republic+Drive+Gloucester+MA,300+Newburyport+Turnpike+Rowley+MA
122,33.0 km,29 mins,38+Great+Republic+Drive+Gloucester+MA,50+Grove+St+Salem+MA
